"termo","ame_pp","erro_padrao_pp","p_valor","amostra"
"mulher",-7.2393937751475,6.67415621231761,0.278058761090561,"ampla"
"preto",-4.69824445518895,3.77133170226262,0.212845675790257,"ampla"
"pardo",-2.62429776488587,2.90574674106412,0.366451295075531,"ampla"
"indigena",-1.91858097372977,4.28998033680462,0.654713535116448,"ampla"
