,rotulo,referencia,coeficiente,erro_padrao,p_valor,efeito_percentual_aprox
Intercept,Constante,,1.8258143465182597,0.08604772179983373,6.427623736252966e-100,520.7848300914114
C(escolaridade)[T.2],Escolaridade: Fundamental incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.15179805339559005,0.03574161919423604,2.1656011661065523e-05,16.392516196242024
C(escolaridade)[T.3],Escolaridade: Fundamental completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.28627630354672173,0.04006259134598422,8.952142336486537e-13,33.14602916336007
C(escolaridade)[T.4],Escolaridade: Médio incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.2671786073886455,0.0407250317875374,5.360967402834157e-11,30.627373563721562
C(escolaridade)[T.5],Escolaridade: Médio completo ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.33502321084939807,0.037858411482751465,8.801221993512778e-19,39.79728329827845
C(escolaridade)[T.6],Escolaridade: Superior incompleto ou equivalente,Referência: Sem instrução ou fundamental incompleto,0.43265909797040003,0.038946745673730375,1.134323225835188e-28,54.135068155137446
C(escolaridade)[T.7],Escolaridade: Superior completo,Referência: Sem instrução ou fundamental incompleto,0.683166931079054,0.04615191071990043,1.4098900106881395e-49,98.01387758808605
C(ocupacao_grupo)[T.10],"Ocupação: Membros das forças armadas, policiais e bombeiros militares",Referência: Dirigentes e gerentes,-0.26270036308972416,0.053537044054048875,9.253209637315297e-07,-23.102772472878343
C(ocupacao_grupo)[T.11],Ocupação: Ocupações mal definidas,Referência: Dirigentes e gerentes,-0.8018378410541325,0.04321467627992902,7.46433878616338e-77,-55.14960727243301
C(ocupacao_grupo)[T.2],Ocupação: Profissionais das ciências e intelectuais,Referência: Dirigentes e gerentes,0.11297910995712263,0.03445225984262096,0.0010406693249770105,11.96085440337984
C(ocupacao_grupo)[T.3],Ocupação: Técnicos e profissionais de nível médio,Referência: Dirigentes e gerentes,-0.2432231801919676,0.033969784767487625,8.068535544130951e-13,-21.590350056484876
C(ocupacao_grupo)[T.4],Ocupação: Trabalhadores de apoio administrativo,Referência: Dirigentes e gerentes,-0.49142482413889094,0.030640394527396163,6.883734100195557e-58,-38.82458691316586
C(ocupacao_grupo)[T.5],Ocupação: Trabalhadores dos serviços e vendedores,Referência: Dirigentes e gerentes,-0.49453363801771993,0.029741097891248024,4.3726549057549655e-62,-39.014474570786305
C(ocupacao_grupo)[T.6],"Ocupação: Trabalhadores agropecuários, florestais, da caça e pesca",Referência: Dirigentes e gerentes,-0.7422851572572136,0.04982926153128536,3.4693049256699914e-50,-52.397512002289105
C(ocupacao_grupo)[T.7],"Ocupação: Trabalhadores qualificados da indústria, construção e artes",Referência: Dirigentes e gerentes,-0.5540941783973417,0.03171052034175607,2.280142128882329e-68,-42.540749615994486
C(ocupacao_grupo)[T.8],"Ocupação: Operadores de instalações, máquinas e montadores",Referência: Dirigentes e gerentes,-0.5417376282699715,0.03838496599728659,3.1461514346356146e-45,-41.826346821190455
C(ocupacao_grupo)[T.9],Ocupação: Ocupações elementares,Referência: Dirigentes e gerentes,-0.7351621630529748,0.03016455847598486,3.4123326178196695e-131,-52.05722927898492
C(atividade_grupo)[T.10],Atividade: Outros serviços,Referência: Agropecuária,0.03954312755872906,0.041402740768540926,0.3395348251100603,4.033536504202084
C(atividade_grupo)[T.11],Atividade: Serviços domésticos,Referência: Agropecuária,0.05078482063912256,0.039958453152796905,0.2037497793899159,5.209647947625329
C(atividade_grupo)[T.12],Atividade: Atividades mal definidas,Referência: Agropecuária,0.13120906348947858,0.04530272702677384,0.003776237754727029,14.020613186857588
