"modelo","rotulo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"M0","Bruto (só mulher)",0.0327349012052386,0.0112380147472143,0.0039925979621461,3.32765825534258
"M1","+ Demografia",0.0240947915065247,0.0107099754337198,0.0255763582093757,2.43874165149629
"M2","+ Educação",-0.178575985328902,0.0102270767774039,2.33910536624429e-41,-16.3539504263316
"M3","+ Atividade",-0.186417952655899,0.0103709981558991,6.01292953546844e-42,-17.0073347564383
"M4","+ Ocupação (FE separado)",-0.16816016502006,0.00810127399057988,2.34003036282319e-48,-15.4781550586949
"M5","+ Ocupação×Atividade",-0.169168724937826,0.0110548375555334,1.96854741364174e-30,-15.5633574306075
"M6","+ Setor público",-0.16704920617243,0.0109933034952974,4.27653749946775e-30,-15.3842025882385
"M7","+ Horas (separado)",-0.200634845223053,0.0108394950594823,2.33085910329309e-37,-18.1788849278588
