"termo","coeficiente","erro_padrao","p_valor"
"(Intercept)",1.73326613148596,0.148749037606061,1.22854688919532e-20
"formal",0.294732107243894,0.0290906794380266,3.10498389718194e-17
"mulher",-0.194347364130243,0.0264935473952974,4.82859601185397e-11
"factor(raca_grupo)indigena",-0.136844068744364,0.0399860041428357,0.000886163391515522
"factor(raca_grupo)pardo",-0.0964055529106705,0.0235660946432084,8.44797046709856e-05
"factor(raca_grupo)preto",-0.100806721928176,0.0304322041208014,0.00126890394674604
"idade",0.0267621995586645,0.00241568652308579,2.3371151303001e-19
"idade2",-0.000194724647498523,3.03707874459184e-05,4.19629366050477e-09
"factor(escolaridade)2",0.163003674691373,0.0376799157324358,3.47071141203189e-05
"factor(escolaridade)3",0.295375432788077,0.0437440612273776,8.28612507459013e-10
"factor(escolaridade)4",0.283456650766473,0.0415525717394047,5.9360205355737e-10
"factor(escolaridade)5",0.34794453563931,0.0387126914499631,1.1371189381953e-14
"factor(escolaridade)6",0.441574690234499,0.043716018496013,3.63572830880517e-17
"factor(escolaridade)7",0.681023726081198,0.0415351654900124,1.0158283720461e-30
"factor(celula_ocup_ativ)1_10",0.126523402245457,0.186169644085627,0.49824475740818
"factor(celula_ocup_ativ)1_2",0.0675022854691242,0.173318980024051,0.697718400717302
"factor(celula_ocup_ativ)1_4",-0.0217147996908837,0.142942675539184,0.879547343907835
"factor(celula_ocup_ativ)1_6",-0.128888159023371,0.162307410156901,0.428928836256707
"factor(celula_ocup_ativ)1_7",0.315374245183288,0.134974051062728,0.021360796271526
"factor(celula_ocup_ativ)1_8",0.58445244453038,0.132858186144264,2.61630918913319e-05
"factor(celula_ocup_ativ)1_9",0.194832536291452,0.16639099660935,0.244276634372171
"factor(celula_ocup_ativ)10_8",0.282644314276771,0.127174445739513,0.0283942323119359
"factor(celula_ocup_ativ)2_10",0.0164128576870351,0.142462485283114,0.908500071442013
"factor(celula_ocup_ativ)2_2",0.47698034260425,0.197109130248067,0.0172436028360425
"factor(celula_ocup_ativ)2_4",-0.129667563262946,0.16677423635322,0.438610021952202
"factor(celula_ocup_ativ)2_7",0.320204053863836,0.131654965483036,0.0167012394829291
"factor(celula_ocup_ativ)2_8",0.733647948802299,0.146817502938101,2.33622106480297e-06
"factor(celula_ocup_ativ)2_9",0.32824685683534,0.128395680926102,0.0120024545892993
"factor(celula_ocup_ativ)3_10",-0.327647621660167,0.141040801103907,0.0221031246023394
"factor(celula_ocup_ativ)3_2",-0.0633416446952649,0.14050088890237,0.653043594562387
"factor(celula_ocup_ativ)3_3",-0.301636274033438,0.132929784517562,0.0253042335507845
"factor(celula_ocup_ativ)3_4",-0.261726780011284,0.14914437788181,0.082201010496618
"factor(celula_ocup_ativ)3_7",0.0456366003115991,0.14044531312873,0.745871402790645
"factor(celula_ocup_ativ)3_8",0.399479227201435,0.132556416510165,0.00323578152523021
"factor(celula_ocup_ativ)3_9",-0.0704945038574327,0.12843084532931,0.584245755097663
"factor(celula_ocup_ativ)4_10",-0.458282449020157,0.132161734550861,0.000762434834084868
"factor(celula_ocup_ativ)4_2",-0.168700343410816,0.127132466385636,0.187398676603215
"factor(celula_ocup_ativ)4_4",-0.495500422210507,0.13440962970949,0.000361792192601034
"factor(celula_ocup_ativ)4_5",-0.482930382327251,0.142268538249586,0.00097121811048871
"factor(celula_ocup_ativ)4_6",-0.489895355717895,0.13742130984667,0.000549413032312562
"factor(celula_ocup_ativ)4_7",-0.331023574253146,0.128932113961331,0.0116536006282338
"factor(celula_ocup_ativ)4_8",0.0801032638925702,0.129784805467737,0.538438528318995
"factor(celula_ocup_ativ)4_9",-0.247216668507431,0.128280862834991,0.0566632559468114
"factor(celula_ocup_ativ)5_10",-0.335613445903942,0.129104513887712,0.0106779127986636
"factor(celula_ocup_ativ)5_11",-0.616557019360912,0.129918806014618,6.58917401930904e-06
"factor(celula_ocup_ativ)5_2",-0.444985496630112,0.14831662346469,0.00336979381221141
"factor(celula_ocup_ativ)5_4",-0.428634814224086,0.127363168752283,0.00106823526413385
"factor(celula_ocup_ativ)5_6",-0.627011124393392,0.126326724110915,2.68825085997596e-06
"factor(celula_ocup_ativ)5_7",-0.456869553075197,0.126237891063599,0.000456575557209463
"factor(celula_ocup_ativ)5_8",0.316579721025718,0.137484635714938,0.0232702394333871
"factor(celula_ocup_ativ)5_9",-0.313263938945927,0.127509366390118,0.0156572098218865
"factor(celula_ocup_ativ)6_1",-0.688497465287972,0.125478169123081,2.85092583819407e-07
"factor(celula_ocup_ativ)7_1",-0.597713361007021,0.174790343622385,0.000894098709547522
"factor(celula_ocup_ativ)7_10",-0.55257930471354,0.135870571367953,9.2313540319686e-05
"factor(celula_ocup_ativ)7_2",-0.549932495887572,0.123980906189907,2.26892036239239e-05
"factor(celula_ocup_ativ)7_3",-0.460930282970195,0.125663676349251,0.000385806274353409
"factor(celula_ocup_ativ)7_4",-0.463763782013628,0.127996493815929,0.000450134576186005
"factor(celula_ocup_ativ)7_6",-0.457916584952,0.142750096078525,0.00177352103994342
"factor(celula_ocup_ativ)7_7",-0.315300275606962,0.148244599024509,0.0357713772171546
"factor(celula_ocup_ativ)8_1",-0.254374281999191,0.126217063615098,0.0464207639381585
"factor(celula_ocup_ativ)8_2",-0.456288931712149,0.151104085361694,0.00317701364248922
"factor(celula_ocup_ativ)8_3",-0.245017280719457,0.133757766102029,0.0698162054538599
"factor(celula_ocup_ativ)8_4",-0.598818269000606,0.12711932097624,7.5954918105899e-06
"factor(celula_ocup_ativ)8_5",-0.360030563757353,0.129347840167603,0.00638012726307935
"factor(celula_ocup_ativ)8_6",-0.266631510272693,0.146382043287047,0.0713815329765291
"factor(celula_ocup_ativ)8_7",-0.474982743115956,0.138215914887056,0.000845391972640582
"factor(celula_ocup_ativ)8_8",-0.161877074610355,0.135556800555238,0.235104529029199
"factor(celula_ocup_ativ)9_1",-0.752915131434077,0.122211280113203,1.35565472135455e-08
"factor(celula_ocup_ativ)9_10",-0.552037658043786,0.172447361607964,0.00181105034926284
"factor(celula_ocup_ativ)9_11",-0.564683429982496,0.126639521540363,2.07070256120288e-05
"factor(celula_ocup_ativ)9_2",-0.393801610703379,0.135105095476662,0.0043511176492363
"factor(celula_ocup_ativ)9_3",-0.757030528619921,0.129791237455202,6.09670685325822e-08
"factor(celula_ocup_ativ)9_4",-0.714344060163434,0.125130737207504,1.06519444286074e-07
"factor(celula_ocup_ativ)9_5",-0.472384568472957,0.146375421795302,0.00166778708639519
"factor(celula_ocup_ativ)9_6",-0.631196021622861,0.128477754418791,3.31673401886541e-06
"factor(celula_ocup_ativ)9_7",-0.645194095490774,0.126174784363885,1.43033193597379e-06
"factor(celula_ocup_ativ)9_8",-0.318721220034146,0.127565524887072,0.0140228507797699
"factor(celula_ocup_ativ)9_9",-0.587334448900716,0.128785330386838,1.38682065061791e-05
"factor(celula_ocup_ativ)outras",-0.153683274974704,0.143619721641809,0.287041102734712
"factor(periodo)2017T4",0.0359415728985383,0.0270953802469579,0.187557522065591
"factor(periodo)2018T4",0.011927161433497,0.0296692808251219,0.688498415018923
"factor(periodo)2019T4",-0.0411157488507338,0.032002497641921,0.201700836054546
"factor(periodo)2020T4",-0.0218761814425112,0.0321683261728931,0.497967278513464
"factor(periodo)2021T4",-0.070559397060226,0.03427649976365,0.0420144258940397
"factor(periodo)2022T4",-0.00175538408314892,0.0307648806133059,0.954607393104408
"factor(periodo)2023T4",-0.0177049185988105,0.026413344735523,0.504136879001607
"factor(periodo)2024T4",0.0366415069609259,0.0290030814880779,0.209255675319335
"factor(periodo)2025T4",0.0739016267013883,0.0301381442714862,0.0158515060476727
"formal:mulher",-0.00538116371337731,0.0188512151899588,0.775858316686452
"formal:factor(raca_grupo)indigena",-0.12017370427515,0.0466306386691169,0.0113503781150909
"formal:factor(raca_grupo)pardo",-0.0418647826589246,0.0292216447633085,0.154924604414438
"formal:factor(raca_grupo)preto",-0.0672562555899568,0.037263932565386,0.0739624785173638
"mulher:factor(raca_grupo)indigena",0.116236198108491,0.0405455300953008,0.00501106552042084
"mulher:factor(raca_grupo)pardo",0.0417874193568993,0.0255610431671351,0.105083745976322
"mulher:factor(raca_grupo)preto",0.0526703772740278,0.0390969541213334,0.180824545148199
