"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"(Intercept)",1.13755315425405,0.0671350482780842,2.35595353475354e-38,211.912699774936
"formal",0.446405359522566,0.0317655078932272,2.89049910918044e-30,56.2684787323077
"mulher",-0.159588502148988,0.0284016420344421,7.71542414708504e-08,-14.7505483539019
"factor(raca_grupo)indigena",-0.150204127520381,0.0414231896762953,0.000380040830864407,-13.9467699829153
"factor(raca_grupo)pardo",-0.0937306369403276,0.02635021242459,0.000485990449270016,-8.94720081828171
"factor(raca_grupo)preto",-0.106657750971545,0.033598657432804,0.00178229919510388,-10.1166754840936
"idade",0.0258691232825983,0.00271730062233396,1.7236223436527e-17,2.62066331287385
"idade2",-0.000157103227468336,3.44943749612712e-05,9.98121675016727e-06,-0.0157090887402567
"factor(escolaridade)2",0.18733716344288,0.0396398753203171,4.77939320456789e-06,20.603384703125
"factor(escolaridade)3",0.360946915245239,0.0435259738007603,3.23924362837843e-14,43.4687298833635
"factor(escolaridade)4",0.368825862885115,0.041000618543938,4.50977780948266e-16,44.603577325129
"factor(escolaridade)5",0.519454325107267,0.0388279669786575,2.39210613391609e-28,68.1110059817211
"factor(escolaridade)6",0.779673521978112,0.0434866917756938,4.89082827211847e-41,118.076017899478
"factor(escolaridade)7",1.30372495045788,0.0418197111390326,3.24532345412236e-72,268.299010377369
"factor(periodo)2017T4",0.0278361479518417,0.0315356482945074,0.378651159301622,2.82271934863847
"factor(periodo)2018T4",-0.00560767367860662,0.0334151674713457,0.866925769148247,-0.559198002522932
"factor(periodo)2019T4",-0.0639908807334908,0.035896558745551,0.0764284728068586,-6.19864465126899
"factor(periodo)2020T4",-0.0395216308682231,0.040143021192807,0.326258729811459,-3.87508388882186
"factor(periodo)2021T4",-0.102401705423713,0.0409136660474934,0.0132628935941388,-9.73331273498599
"factor(periodo)2022T4",-0.048555043079077,0.036947181415748,0.190557951441401,-4.73950964443
"factor(periodo)2023T4",-0.0572081241890138,0.0296565534871043,0.0553938254589095,-5.56025030516637
"factor(periodo)2024T4",-0.0230263490659325,0.0313535433136517,0.463710801799227,-2.27632658411006
"factor(periodo)2025T4",0.0206149375701073,0.0322667058113078,0.523753102791436,2.08288930930154
"formal:mulher",-0.0792475636801061,0.0196365823333066,8.21592139595712e-05,-7.61888059653345
"formal:factor(raca_grupo)indigena",-0.17368966748145,0.04755682579035,0.000345872848767839,-15.9442290421872
"formal:factor(raca_grupo)pardo",-0.0716977638715248,0.0322316883324337,0.0274347686932287,-6.91878216286829
"formal:factor(raca_grupo)preto",-0.100419830444472,0.041182672837419,0.0157814296828732,-9.55423805283512
"mulher:factor(raca_grupo)indigena",0.112087039711482,0.044296159911823,0.0123014857488178,11.8610219918724
"mulher:factor(raca_grupo)pardo",0.0188951849432511,0.029378923240407,0.520990469891529,1.90748286333398
"mulher:factor(raca_grupo)preto",0.0556756450643455,0.0426444466416741,0.193460247634827,5.72547023348167
