"posicao_ocupacao_grupo","n_amostral","n_ponderado","renda_hora_media"
"militar_estatutario",4062,413384.15429634,41.8203702321689
"empregador",970,85110.67742455,35.4019908214519
"publico_com_carteira",236,24885.93100612,24.0138570758224
"publico_sem_carteira",1492,145380.92121086,23.78353111412
"conta_propria",6833,633563.15941742,13.1057690698396
"privado_com_carteira",5240,576926.22938675,12.0239228931996
"privado_sem_carteira",3392,331329.29890614,11.4847953675523
"domestico_com_carteira",315,28285.7196544,8.65342798729924
"domestico_sem_carteira",1398,129127.69434823,8.38596321616244
