tabela,VD4009,n_amostral,n_upa
posicao_ocupacao,9.0,6833,402
posicao_ocupacao,1.0,5240,383
posicao_ocupacao,7.0,4062,370
posicao_ocupacao,2.0,3402,380
posicao_ocupacao,6.0,1493,312
posicao_ocupacao,4.0,1403,301
posicao_ocupacao,8.0,970,295
posicao_ocupacao,10.0,460,162
posicao_ocupacao,3.0,315,147
posicao_ocupacao,5.0,236,134
