"id","contraste","termos","estimativa","erro_padrao","p_valor","efeito_percentual_aprox","ic95_inf","ic95_sup","dv"
"preto_informal_privado","preto vs. branco, informal, privado/doméstico","factor(raca_grupo)preto",-0.0706362351534124,0.0403355324056514,0.0799086872307784,-6.81992131448587,-13.9028502170453,0.845696817219754,"ln_renda_mensal_real"
"preto_formal_privado","preto vs. branco, formal, privado/doméstico","factor(raca_grupo)preto + formal:factor(raca_grupo)preto",-0.0344491561031307,0.0299658823715259,0.2503034640569,-3.38625393688592,-8.89725819757624,2.45812303422417,"ln_renda_mensal_real"
"preto_informal_publico","preto vs. branco, informal, público","factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.255105111197402,0.0531679945279328,1.60181467578902e-06,-22.5164950159276,-30.1845169398415,-14.0062736593326,"ln_renda_mensal_real"
"preto_formal_publico","preto vs. branco, formal, público","factor(raca_grupo)preto + formal:factor(raca_grupo)preto + factor(raca_grupo)preto:setor_publico",-0.21891803214712,0.0427523677134265,3.04555309416088e-07,-19.661243259124,-26.1188653576426,-12.6391890715594,"ln_renda_mensal_real"
"preto_diferenca_publico_privado","Diferença do gap de preto (público - privado)","factor(raca_grupo)preto:setor_publico",-0.184468876043989,0.0393659943327144,2.78602254888405e-06,-16.8454179507813,-23.020129850033,-10.1754198557426,"ln_renda_mensal_real"
"pardo_informal_privado","pardo vs. branco, informal, privado/doméstico","factor(raca_grupo)pardo",-0.0752957320928051,0.028734622605308,0.00878309238066999,-7.25308366291949,-12.332206802483,-1.87969633663541,"ln_renda_mensal_real"
"pardo_formal_privado","pardo vs. branco, formal, privado/doméstico","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo",-0.0520219330153679,0.0201957241012125,0.00999828883829634,-5.06919545733969,-8.75350016682176,-1.23612776826797,"ln_renda_mensal_real"
"pardo_informal_publico","pardo vs. branco, informal, público","factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.208820127123078,0.0372757790290868,2.11852770881649e-08,-18.8458803234403,-24.563629056296,-12.6947511116048,"ln_renda_mensal_real"
"pardo_formal_publico","pardo vs. branco, formal, público","factor(raca_grupo)pardo + formal:factor(raca_grupo)pardo + factor(raca_grupo)pardo:setor_publico",-0.185546328045641,0.0297653894365908,4.55758319972688e-10,-16.9349647717931,-21.6423428059208,-11.9447884924179,"ln_renda_mensal_real"
"pardo_diferenca_publico_privado","Diferença do gap de pardo (público - privado)","factor(raca_grupo)pardo:setor_publico",-0.133524395030273,0.0269784885193894,7.44842471922524e-07,-12.4993877083609,-17.0060300908942,-7.74803085336301,"ln_renda_mensal_real"
"indigena_informal_privado","indigena vs. branco, informal, privado/doméstico","factor(raca_grupo)indigena",-0.0827706265106289,0.05764629365512,0.151048999389326,-7.94377244130913,-17.7788289779403,3.06772485718836,"ln_renda_mensal_real"
"indigena_formal_privado","indigena vs. branco, formal, privado/doméstico","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena",-0.0593637791991812,0.034121012391656,0.0818939271060395,-5.76361055873157,-11.859756461138,0.75417015396495,"ln_renda_mensal_real"
"indigena_informal_publico","indigena vs. branco, informal, público","factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.333841171234975,0.0622012231622342,8.00056674243876e-08,-28.3832478802598,-36.6031219983113,-19.0976062883775,"ln_renda_mensal_real"
"indigena_formal_publico","indigena vs. branco, formal, público","factor(raca_grupo)indigena + formal:factor(raca_grupo)indigena + factor(raca_grupo)indigena:setor_publico",-0.310434323923527,0.0502261067254533,6.38032959798807e-10,-26.6871528167735,-33.5604379618956,-19.1028146900099,"ln_renda_mensal_real"
"indigena_diferenca_publico_privado","Diferença do gap de indigena (público - privado)","factor(raca_grupo)indigena:setor_publico",-0.251070544724346,0.0490330730573397,3.04835589215458e-07,-22.2032511878888,-29.3318611852325,-14.3555465412941,"ln_renda_mensal_real"
