"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox_por_ano"
"formal:Ano",-0.00309787159569636,0.00376578790595252,0.412672506998278,-0.309307814259629
"mulher:Ano",-0.00339382484981994,0.00289983401556334,0.244641170590286,-0.338807233577942
"factor(raca_grupo)indigena:Ano",0.0078165728527799,0.00815014487469546,0.339835769587394,0.784720201136735
"factor(raca_grupo)pardo:Ano",0.00960077134245146,0.00411492148750697,0.0216422632603053,0.964700659387185
"factor(raca_grupo)preto:Ano",0.00667406588088038,0.00650508007162643,0.307377587148283,0.669638708867804
