tabela,VD4011,n_amostral,n_upa
ocupacao,5.0,5760,388
ocupacao,9.0,4382,380
ocupacao,7.0,2990,370
ocupacao,2.0,2390,325
ocupacao,6.0,2167,279
ocupacao,4.0,2063,321
ocupacao,3.0,1685,333
ocupacao,8.0,1525,334
ocupacao,1.0,838,239
ocupacao,10.0,612,200
ocupacao,11.0,2,2
