"termo","beta_mensal","beta_hora","beta_ln_horas","soma_hora_mais_horas","diferenca_vs_mensal","erro_padrao","p_valor"
"(Intercept)",6.75261617484826,1.73326613148596,3.55378250134794,5.2870486328339,1.46556754201436,0.149617002986966,1.39917648378327e-70
"factor(celula_ocup_ativ)1_10",0.020883844658328,0.126523402245457,-0.105639557587133,0.0208838446583235,4.47211712106821e-15,0.196645273222358,0.915625834183173
"factor(celula_ocup_ativ)1_2",-0.0157882159634943,0.0675022854691242,-0.0832905014326244,-0.0157882159635001,5.85295700794575e-15,0.17308901616923,0.927495997166454
"factor(celula_ocup_ativ)1_4",-0.0436113361623856,-0.0217147996908837,-0.0218965364715082,-0.0436113361623919,6.3352101342673e-15,0.151070761733076,0.773394251621924
"factor(celula_ocup_ativ)1_6",-0.13915940320835,-0.128888159023371,-0.0102712441849858,-0.139159403208357,6.66133814775094e-15,0.170865389593357,0.417236933279628
"factor(celula_ocup_ativ)1_7",0.226206068516151,0.315374245183288,-0.0891681766671473,0.226206068516141,1.02140518265514e-14,0.146793199647381,0.126328930394209
"factor(celula_ocup_ativ)1_8",0.445646890963595,0.58445244453038,-0.138805553566788,0.445646890963592,3.60822483003176e-15,0.14211334973058,0.00222297366502852
"factor(celula_ocup_ativ)1_9",0.0715138617336143,0.194832536291452,-0.123318674557843,0.0715138617336097,4.6074255521944e-15,0.174707362239511,0.683127538324182
"factor(celula_ocup_ativ)10_8",0.154616467803624,0.282644314276771,-0.128027846473157,0.154616467803614,1.01862962509358e-14,0.136486097326772,0.259862997210597
"factor(celula_ocup_ativ)2_10",-0.430007120894651,0.0164128576870351,-0.446419978581693,-0.430007120894658,7.43849426498855e-15,0.150301243454785,0.00509736080169394
"factor(celula_ocup_ativ)2_2",0.300150809274998,0.47698034260425,-0.176829533329254,0.300150809274996,1.4432899320127e-15,0.19972431892637,0.135885733174091
"factor(celula_ocup_ativ)2_4",-0.303586101275534,-0.129667563262946,-0.173918538012595,-0.303586101275541,6.21724893790088e-15,0.16193562040236,0.0636085107374337
"factor(celula_ocup_ativ)2_7",0.119254315425557,0.320204053863836,-0.200949738438288,0.119254315425548,9.1177065897341e-15,0.142162665195826,0.403454606424446
"factor(celula_ocup_ativ)2_8",0.507907674074805,0.733647948802299,-0.225740274727504,0.507907674074795,9.99200722162641e-15,0.154345200537758,0.0013612544289474
"factor(celula_ocup_ativ)2_9",0.0218158271594465,0.32824685683534,-0.306431029675901,0.021815827159439,7.57380269611474e-15,0.13864342072037,0.875269584616598
"factor(celula_ocup_ativ)3_10",-0.5384156313601,-0.327647621660167,-0.210768009699939,-0.538415631360107,6.77236045021345e-15,0.157575172604481,0.000902169827141208
"factor(celula_ocup_ativ)3_2",-0.145759458892684,-0.0633416446952649,-0.0824178141974297,-0.145759458892695,1.02695629777827e-14,0.147948071163519,0.326787243259995
"factor(celula_ocup_ativ)3_3",-0.411305274814935,-0.301636274033438,-0.109669000781504,-0.411305274814941,5.93969318174459e-15,0.143664401595683,0.00506778870951876
"factor(celula_ocup_ativ)3_4",-0.335385848003706,-0.261726780011284,-0.0736590679924257,-0.33538584800371,4.21884749357559e-15,0.158934887503899,0.0372159895490964
"factor(celula_ocup_ativ)3_7",-0.115855986506679,0.0456366003115991,-0.161492586818284,-0.115855986506685,6.38378239159465e-15,0.148726016537218,0.437738097337427
"factor(celula_ocup_ativ)3_8",0.172659289502292,0.399479227201435,-0.226819937699147,0.172659289502288,4.27435864480685e-15,0.141443046792961,0.224934462977951
"factor(celula_ocup_ativ)3_9",-0.316728215079161,-0.0704945038574327,-0.246233711221734,-0.316728215079167,6.27276008913213e-15,0.138330218478571,0.024041570198589
"factor(celula_ocup_ativ)4_10",-0.671517743055264,-0.458282449020157,-0.213235294035113,-0.67151774305527,6.21724893790088e-15,0.139811957454955,5.21570212942221e-06
"factor(celula_ocup_ativ)4_2",-0.333731534005646,-0.168700343410816,-0.165031190594838,-0.333731534005654,7.43849426498855e-15,0.140856693622115,0.0196492219220328
"factor(celula_ocup_ativ)4_4",-0.581048140470115,-0.495500422210507,-0.0855477182596147,-0.581048140470122,7.21644966006352e-15,0.145636542371301,0.000122665917892428
"factor(celula_ocup_ativ)4_5",-0.568262751940341,-0.482930382327251,-0.0853323696130949,-0.568262751940346,5.32907051820075e-15,0.153107263565244,0.000331583556072814
"factor(celula_ocup_ativ)4_6",-0.623991728873671,-0.489895355717895,-0.134096373155782,-0.623991728873677,5.32907051820075e-15,0.142106169056463,2.69938305124762e-05
"factor(celula_ocup_ativ)4_7",-0.527287549670088,-0.331023574253146,-0.196263975416948,-0.527287549670094,5.88418203051333e-15,0.137725121511674,0.000219483643712946
"factor(celula_ocup_ativ)4_8",-0.13110709536216,0.0801032638925702,-0.211210359254736,-0.131107095362166,5.96744875736022e-15,0.137592973029737,0.342848467442785
"factor(celula_ocup_ativ)4_9",-0.469917121907137,-0.247216668507431,-0.222700453399713,-0.469917121907144,7.32747196252603e-15,0.140935786906716,0.00118249779286823
"factor(celula_ocup_ativ)5_10",-0.52587278594314,-0.335613445903942,-0.190259340039204,-0.525872785943146,6.10622663543836e-15,0.135258169986846,0.000177462185376939
"factor(celula_ocup_ativ)5_11",-0.709688599892552,-0.616557019360912,-0.0931315805316461,-0.709688599892558,5.77315972805081e-15,0.137161501871564,1.10540007991941e-06
"factor(celula_ocup_ativ)5_2",-0.568123746549271,-0.444985496630112,-0.123138249919166,-0.568123746549279,7.7715611723761e-15,0.154178891254583,0.000363884747518316
