"dv","termo","coeficiente_r","erro_padrao_r","p_valor_r","coeficiente_python","erro_padrao_python","p_valor_python","diff_absoluta"
"ln_renda_mensal_real","formal",0.353233362023819,0.0192713832780726,9.52559340266177e-41,0.353233362023821,0.0302105285993768,1.39403147335163e-31,-2.4980018054066e-15
"ln_renda_mensal_real","formal:mulher",0.138010744008528,0.0160836659372281,8.9020265422456e-15,0.138010744008529,0.0224059627179792,7.29499644271782e-10,-7.7715611723761e-16
"ln_renda_mensal_real","formal:preto_pardo",-0.0160556755762238,0.0202697166571102,0.429504268919685,-0.0160556755762252,0.0262934211404187,0.541441438860112,1.37043154602168e-15
"ln_renda_mensal_real","mulher",-0.334960800354134,0.0145552590423464,5.13009912233953e-52,-0.33496080035413,0.0188804774499391,2.01873919830645e-70,-3.5527136788005e-15
"ln_renda_mensal_real","preto_pardo",-0.0967570105872786,0.0159299201048216,9.1634284276091e-09,-0.0967570105872785,0.0207829175590259,3.23034069305162e-06,-9.71445146547012e-17
"ln_renda_hora_real","formal",0.28315743781617,0.0199279723769927,6.27326311711526e-30,0.283157437816217,0.0305631751374118,1.95699123356376e-20,-4.74620343027254e-14
"ln_renda_hora_real","formal:mulher",-0.0138692332314181,0.014777157992949,0.349408138422422,-0.0138692332314641,0.0218995549755591,0.526530447056111,4.60621124576122e-14
"ln_renda_hora_real","formal:preto_pardo",-0.0361520437465839,0.0200282874011797,0.0729955008120838,-0.0361520437465701,0.0254443747824383,0.155367184376684,-1.37320710358324e-14
"ln_renda_hora_real","mulher",-0.152272809490482,0.013271898262333,1.75800595893192e-22,-0.152272809490449,0.017527371153769,3.69801322532437e-18,-3.29458682557515e-14
"ln_renda_hora_real","preto_pardo",-0.0625765201706931,0.013979946285205,1.4591548842118e-05,-0.0625765201707111,0.0189470801911092,0.000957588024865683,1.8027246362351e-14
