"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox","especificacao","dv","n_replicas_descartadas"
"factor(raca_grupo)indigena",-0.136844068744363,0.0399860041428356,0.000886163391515605,-12.7893795854316,"q4_only","ln_renda_hora_real",NA
"factor(raca_grupo)indigena",-0.132040593103156,0.0198944151826211,1.18977459478323e-08,-12.3694577599032,"todos_trimestres","ln_renda_hora_real",0
"factor(raca_grupo)pardo",-0.0964055529106702,0.0235660946432084,8.44797046709881e-05,-9.19043394583728,"q4_only","ln_renda_hora_real",NA
"factor(raca_grupo)pardo",-0.0770125416449283,0.0115671422802191,1.09814736380968e-08,-7.41217585024737,"todos_trimestres","ln_renda_hora_real",0
"factor(raca_grupo)preto",-0.100806721928176,0.0304322041208014,0.00126890394674605,-9.5892239795546,"q4_only","ln_renda_hora_real",NA
"factor(raca_grupo)preto",-0.102793076829421,0.0166034351187235,6.58444794433582e-08,-9.76863362302587,"todos_trimestres","ln_renda_hora_real",0
"formal",0.294732107243894,0.0290906794380267,3.10498389718238e-17,34.2766593055704,"q4_only","ln_renda_hora_real",NA
"formal",0.266669459418068,0.0140735902221643,1.60000057386213e-26,30.5608818300718,"todos_trimestres","ln_renda_hora_real",0
"formal:mulher",-0.00538116371337724,0.0188512151899588,0.775858316686455,-0.536671118734589,"q4_only","ln_renda_hora_real",NA
"formal:mulher",0.0183214064949631,0.00905409490648106,0.0476325514590412,1.84902731781758,"todos_trimestres","ln_renda_hora_real",0
"mulher",-0.194347364130242,0.0264935473952973,4.82859601185476e-11,-17.6628155256671,"q4_only","ln_renda_hora_real",NA
"mulher",-0.184144248909162,0.0123918353343597,1.95875503554166e-21,-16.8184193350584,"todos_trimestres","ln_renda_hora_real",0
"factor(raca_grupo)indigena",-0.181653495805458,0.0428239905085657,4.78855651233015e-05,-16.6109763174216,"q4_only","ln_renda_mensal_real",NA
"factor(raca_grupo)indigena",-0.153090852626966,0.021363392082111,1.5419907776604e-09,-14.194823798663,"todos_trimestres","ln_renda_mensal_real",0
"factor(raca_grupo)pardo",-0.124957197029398,0.0261550683715653,5.78761307992297e-06,-11.7465323118007,"q4_only","ln_renda_mensal_real",NA
"factor(raca_grupo)pardo",-0.0948019847564175,0.0125833449115754,3.71189309538138e-10,-9.04469779991927,"todos_trimestres","ln_renda_mensal_real",0
"factor(raca_grupo)preto",-0.138018075741997,0.032392350400376,4.45507879099444e-05,-12.8917053867101,"q4_only","ln_renda_mensal_real",NA
"factor(raca_grupo)preto",-0.103801675853635,0.017804323585609,2.59304064180738e-07,-9.85959501161224,"todos_trimestres","ln_renda_mensal_real",0
"formal",0.346597775446445,0.0292129137104275,4.15209945575574e-21,41.4247765777134,"q4_only","ln_renda_mensal_real",NA
"formal",0.333894151198451,0.0136340547002532,2.84066888590165e-32,39.6395328979583,"todos_trimestres","ln_renda_mensal_real",0
"formal:mulher",0.146866419615931,0.0199942297884535,4.60075740543917e-11,15.8199239996797,"q4_only","ln_renda_mensal_real",NA
"formal:mulher",0.156799665963136,0.00964335546931868,2.86061896980972e-23,16.9761247433042,"todos_trimestres","ln_renda_mensal_real",0
"mulher",-0.340198724629022,0.0272642345283645,1.84029230785095e-22,-28.837110947723,"q4_only","ln_renda_mensal_real",NA
"mulher",-0.331068258424861,0.0132471508774819,9.67991157167369e-33,-28.1843852839898,"todos_trimestres","ln_renda_mensal_real",0
