tabela,formal,mulher,n_amostral,n_ponderado,n_upa
formalidade_genero_ampla,0.0,0,8413,760299,403
formalidade_genero_ampla,1.0,0,6029,649870,382
formalidade_genero_ampla,1.0,1,5103,524885,384
formalidade_genero_ampla,0.0,1,4869,466842,397
