"termo","coeficiente","erro_padrao","p_valor"
"(Intercept)",6.88269433362714,0.152067461958051,1.05407244898981e-70
"formal",0.277356209767579,0.0286294724404162,3.0789326444878e-16
"mulher",-0.238327450261778,0.0294469332316615,1.09177029160124e-12
"factor(raca_grupo)indigena",-0.11860709205123,0.0568035854672239,0.0392151309614819
"factor(raca_grupo)pardo",-0.103736655888067,0.0297277437324992,0.000708456253649321
"factor(raca_grupo)preto",-0.111887835601379,0.0417914334842681,0.00861444507507339
"idade",0.0309820333650189,0.00263494210863319,7.14926260930747e-21
"idade2",-0.000214773476638113,3.27019844251443e-05,2.00453833051045e-09
"factor(escolaridade)2",0.131939787073524,0.0405484059669007,0.00153195275098697
"factor(escolaridade)3",0.170900969897554,0.0500879626267105,0.000916771527977349
"factor(escolaridade)4",0.188470922292322,0.0463258495300386,9.18289298987207e-05
"factor(escolaridade)5",0.281282482061641,0.0395330459594267,1.42689526483088e-10
"factor(escolaridade)6",0.340529933408334,0.0454253684052896,2.17789765418575e-11
"factor(escolaridade)7",0.609118342043107,0.0421938115957683,1.10623230512566e-26
"factor(celula_ocup_ativ)1_10",-0.0966217401262432,0.186226279569911,0.604963753766163
"factor(celula_ocup_ativ)1_2",-0.0180579754925973,0.195238375308426,0.926483439426059
"factor(celula_ocup_ativ)1_4",-0.109106270989151,0.156052730255283,0.485996155704088
"factor(celula_ocup_ativ)1_6",-0.468406498363313,0.198111161243141,0.0198992192866209
"factor(celula_ocup_ativ)1_7",0.322733220577302,0.155362984815604,0.0402152196792551
"factor(celula_ocup_ativ)1_8",0.464794789090658,0.140649726846986,0.00130160299556557
"factor(celula_ocup_ativ)1_9",0.131956341689495,0.171633423934151,0.443722147649027
"factor(celula_ocup_ativ)10_8",0.27792253883176,0.131782610727578,0.0373273014414292
"factor(celula_ocup_ativ)2_10",-0.360641132097571,0.170794590037397,0.0370981411555118
"factor(celula_ocup_ativ)2_2",0.345347465340036,0.175828777611761,0.0521604264869726
"factor(celula_ocup_ativ)2_4",-0.374151686503825,0.150663351394809,0.0145972441819011
"factor(celula_ocup_ativ)2_7",0.218129049595305,0.156658829865226,0.166748304993495
"factor(celula_ocup_ativ)2_8",0.562393959551439,0.148481618834346,0.000253789220885928
"factor(celula_ocup_ativ)2_9",0.0914522314267033,0.134122164338142,0.496830237609354
