"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"(Intercept)",1.86192388566955,0.146326964632725,5.30273853799608e-23,543.610720238047
"factor(posicao_ocupacao_grupo)conta_propria",-0.0280497406863371,0.019616293229437,0.155708682784719,-2.76599992606135
"factor(posicao_ocupacao_grupo)domestico_com_carteira",-0.653677763645561,0.192864729112744,0.000987929161261791,-47.9870657960967
"factor(posicao_ocupacao_grupo)domestico_sem_carteira",-0.80044667799798,0.197976257747417,0.000100804865918271,-55.0871696426243
"factor(posicao_ocupacao_grupo)empregador",0.644049590987501,0.0369776093063805,9.68337998559099e-33,90.4176422566353
"factor(posicao_ocupacao_grupo)militar_estatutario",0.654617064083153,0.0304614138323618,3.09292688695115e-40,92.4405452294764
"factor(posicao_ocupacao_grupo)privado_com_carteira",0.0750395610607575,0.0151595440800014,2.84285591842215e-06,7.79267939685115
"factor(posicao_ocupacao_grupo)publico_com_carteira",0.282302346993478,0.0485602755594086,6.65087143480328e-08,32.6179625800077
"factor(posicao_ocupacao_grupo)publico_sem_carteira",0.23090250817545,0.0338538260542453,5.96660649722504e-10,25.9736419460371
"mulher",-0.147639166591712,0.0108048737857984,4.87048159458582e-25,-13.7257634947995
"factor(raca_grupo)indigena",-0.127261706498845,0.0254939475443002,2.38726919419643e-06,-11.9496790970491
"factor(raca_grupo)pardo",-0.0930739868979378,0.015185329616332,1.56905243882643e-08,-8.88739135904645
"factor(raca_grupo)preto",-0.104080818413867,0.0208029697265899,2.27669079768234e-06,-9.88475352347197
"idade",0.0260616298539826,0.00237040868144704,3.60086102644184e-19,2.64042036654168
"idade2",-0.000212982945097782,3.00475461914305e-05,1.62758610480081e-10,-0.0212960265840501
"factor(escolaridade)2",0.135556031489028,0.0365547286261684,0.000335341460576172,14.5173359805363
"factor(escolaridade)3",0.250139018381647,0.0421973464592284,3.95685309850583e-08,28.4203932231347
"factor(escolaridade)4",0.242166686158905,0.0411412634930619,4.78213572670909e-08,27.4006534374139
"factor(escolaridade)5",0.312702314607555,0.0374456308879535,2.9591182510229e-13,36.7114500430502
"factor(escolaridade)6",0.406778833993524,0.0416798596760822,2.12421714344092e-16,50.1971883801834
"factor(escolaridade)7",0.608230955870393,0.0409418777348702,1.45359487121233e-27,83.7178472553044
"factor(celula_ocup_ativ)1_10",-0.0675310998132834,0.17618172829199,0.702269585354789,-6.53013487895255
"factor(celula_ocup_ativ)1_2",-0.156034863370888,0.17159608887588,0.365266513243435,-14.4470636786411
"factor(celula_ocup_ativ)1_4",-0.0944022566271003,0.136863321474178,0.491869469558147,-9.00833313961473
"factor(celula_ocup_ativ)1_6",-0.417496848321577,0.162505721855561,0.0116001593230815,-34.130643216493
