"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"(Intercept)",1.33511323648038,0.0718787123292958,9.02475290315721e-43,280.042626894936
"formal",0.361252308390961,0.0314137611199412,5.24725048509159e-23,43.5125509410801
"mulher",-0.137176542959314,0.0316247885037333,2.46309012748938e-05,-12.8183700484316
"factor(raca_grupo)indigena",-0.102138323838344,0.0523478423885075,0.0526833055540637,-9.70953502061952
"factor(raca_grupo)pardo",-0.0788809746300018,0.0330643378181033,0.0181472240149896,-7.58500848152987
"factor(raca_grupo)preto",-0.0721941479578733,0.0436556109337754,0.100029823771694,-6.96497473256386
"idade",0.0146974325621213,0.00276412503844885,3.27927888292689e-07,1.48059709172206
"idade2",3.57268727422843e-05,3.55605726435734e-05,0.316480519280202,0.00357275109545974
"factor(escolaridade)2",0.162729673055908,0.0444428762833247,0.000334453812958131,17.6718547960138
"factor(escolaridade)3",0.25749250179686,0.0472713396253278,1.7701177202538e-07,29.3682110652685
"factor(escolaridade)4",0.336408050850791,0.0447730158762337,3.12725338547311e-12,39.9910142805217
"factor(escolaridade)5",0.497487656604362,0.0430218398695321,3.46216636123002e-23,64.4584315606334
"factor(escolaridade)6",0.781162427682807,0.0483637317198783,3.64045243953137e-36,118.400954366437
"factor(escolaridade)7",1.33262361750721,0.0467376302290956,1.11819743110694e-66,279.0976423742
"factor(periodo)2017T4",0.0413703690487107,0.0389747171823045,0.289983443334659,4.22380467846408
"factor(periodo)2018T4",0.00200274390692998,0.0381529436281639,0.958197892018961,0.200475073800765
"factor(periodo)2019T4",-0.0658349537563815,0.0407146807115599,0.107736005432023,-6.37146180747678
"factor(periodo)2020T4",-0.0651768361790093,0.0500109423404979,0.194251242291292,-6.30982294016235
"factor(periodo)2021T4",-0.0830441166640616,0.0425812375566778,0.0527907870843179,-7.96894547066386
"factor(periodo)2022T4",-0.106878614289443,0.0463642272851528,0.0223640455964062,-10.1365252212498
"factor(periodo)2023T4",-0.0748250956054989,0.0349581471935552,0.0337464886188401,-7.20942330673368
"factor(periodo)2024T4",-0.0403183185322961,0.0373860275361313,0.282368465309905,-3.9516349260152
"factor(periodo)2025T4",-0.0227333608745343,0.0393328270096645,0.564046306647522,-2.24769050696777
"formal:mulher",-0.108013095353242,0.0223372405579931,2.95637206216067e-06,-10.2384158243054
"formal:factor(raca_grupo)indigena",-0.153050542431905,0.0511004078016894,0.00315367793867465,-14.1913649055593
"formal:factor(raca_grupo)pardo",-0.0777264638359443,0.0332082999944894,0.0204147802380255,-7.47825276283212
"formal:factor(raca_grupo)preto",-0.100841781187644,0.0434615527529921,0.0215153098568282,-9.5923936588462
"mulher:factor(raca_grupo)indigena",0.0442305128758143,0.0453548982218779,0.330842152095489,4.5223264541566
"mulher:factor(raca_grupo)pardo",0.0342961757966935,0.0325947567762133,0.294201494606408,3.48910710296766
"mulher:factor(raca_grupo)preto",0.0333780040840347,0.0461284019610926,0.470312579345225,3.39412994160131
