"termo","coeficiente","erro_padrao","p_valor","efeito_percentual_aprox"
"(Intercept)",1.78019354726009,0.0539483840155878,2.18807019297898e-70,493.100423712869
"formal",0.295017233922851,0.021805673926236,1.03494954083085e-27,34.3149506221783
"mulher",-0.193666285020796,0.0206365493477145,9.97262974295244e-17,-17.6067182882312
"factor(raca_grupo)indigena",-0.133094407691433,0.030489387475371,2.36215855867728e-05,-12.46175546282
"factor(raca_grupo)pardo",-0.0987190298065126,0.0190196088991111,6.76282905278975e-07,-9.40027695175906
"factor(raca_grupo)preto",-0.105387504657507,0.0232900470524321,1.22617464588324e-05,-10.0024289771933
"idade",0.0276872505192789,0.00191744157554432,4.09803757703803e-30,2.80741044947452
"idade2",-0.000206853875835132,2.41164373482528e-05,1.16268977386605e-14,-0.0206832483047203
"factor(escolaridade)2",0.152061083228119,0.0269172962338882,7.93668025959228e-08,16.423134926928
"factor(escolaridade)3",0.282604942568225,0.0310843971822859,5.68707208411654e-16,32.6580982607498
"factor(escolaridade)4",0.2641941066691,0.0310429723907345,1.71308513267703e-14,30.2380972599809
"factor(escolaridade)5",0.329602202021658,0.0275799353431574,1.65182241245453e-23,39.0414914195393
"factor(escolaridade)6",0.426391327391056,0.0321378427287133,5.12392974561328e-27,53.1720061882584
"factor(escolaridade)7",0.673393641399089,0.031191732693632,1.00228967904888e-47,96.0880567333657
"factor(periodo)2017T4",0.0375843760087267,0.0202384172300472,0.0652738520830827,3.82996009621319
"factor(periodo)2018T4",0.0131458791288713,0.0216276261109861,0.544226804073742,1.32326660778443
"factor(periodo)2019T4",-0.043630077286285,0.023558792027324,0.066009662282694,-4.26919780378938
"factor(periodo)2020T4",-0.0224530479170689,0.0258815658148134,0.387046422750141,-2.22028542717467
"factor(periodo)2021T4",-0.0712996658323128,0.0283375139671453,0.0129260583793676,-6.88171933572994
"factor(periodo)2022T4",-0.00638475241664007,0.0221698683717217,0.773752797678813,-0.636441319491576
"factor(periodo)2023T4",-0.0224188255220339,0.0205817957690078,0.277799995501342,-2.21693911389705
"factor(periodo)2024T4",0.0305863020477157,0.0213845311625004,0.154724524903045,3.10588687008899
"factor(periodo)2025T4",0.0700948792382267,0.0253014626414542,0.00631218394945661,7.26099448409951
"factor(atividade_grupo)10",0.035827474926717,0.0308181193703618,0.246872457608664,3.64770127921308
"factor(atividade_grupo)11",0.0517957041183906,0.0291318522881702,0.0774476059634506,5.31605641681554
"factor(atividade_grupo)12",0.126234106645882,0.0416602007865309,0.0028831688817627,13.4547742362041
"factor(atividade_grupo)2",0.0592073205945828,0.0289746496047938,0.0427728786342096,6.09951840923935
"factor(atividade_grupo)3",0.0228570932718666,0.0265663601253992,0.390963382212385,2.31203183222897
"factor(atividade_grupo)4",-0.00228154715927908,0.0262718168127134,0.930912185891889,-0.227894640884663
"factor(atividade_grupo)5",0.136800331148584,0.0318114341418853,3.06919392619418e-05,14.6599185520362
"factor(atividade_grupo)6",-0.109171764662755,0.0310454092596356,0.000579728727499357,-10.3423595872102
"factor(atividade_grupo)7",0.0995595800848941,0.0265667331730647,0.000254818128629364,10.4684285962834
"factor(atividade_grupo)8",0.545641590728006,0.0284380386025549,4.22366872465297e-42,72.5715230157678
"factor(atividade_grupo)9",0.160554519616224,0.0273139792716176,2.6177265066138e-08,17.4161786245586
"factor(ocupacao_grupo)10",-0.26151352102188,0.0334148788007741,8.59381296676635e-13,-23.0114534284261
"factor(ocupacao_grupo)11",-0.789724306570164,0.03740821113407,1.24422048709042e-46,-54.6030065440174
"factor(ocupacao_grupo)2",0.117721231244624,0.028187283955903,5.02173495568372e-05,12.4930472185355
"factor(ocupacao_grupo)3",-0.238756066151066,0.0273209780813809,4.52838943716441e-15,-21.2393017055383
"factor(ocupacao_grupo)4",-0.488162592134558,0.02643037827679,2.32344309490561e-40,-38.6246926492586
"factor(ocupacao_grupo)5",-0.492762069193529,0.0262896053185712,4.993499389064e-41,-38.9063387584737
"factor(ocupacao_grupo)6",-0.739908208807813,0.0390324512927439,1.52307511063933e-41,-52.2842287613798
"factor(ocupacao_grupo)7",-0.548224864583383,0.0268088343217524,4.26617840450271e-45,-42.2025116024451
"factor(ocupacao_grupo)8",-0.536871670069121,0.0290933722810256,2.5475954402487e-40,-41.5425864332338
"factor(ocupacao_grupo)9",-0.727940992269168,0.025660850507946,6.11156074569018e-62,-51.7097733342496
"formal:mulher",-0.00987666927794139,0.0146944889028705,0.502539131484864,-0.9828055160092
"formal:factor(raca_grupo)indigena",-0.126293551866645,0.0352648536734404,0.000462165948505504,-11.8643914918671
"formal:factor(raca_grupo)pardo",-0.0430209142530725,0.0232708206609962,0.0664821369641814,-4.21086437247056
"formal:factor(raca_grupo)preto",-0.0760611894392871,0.0297736320372142,0.01163257114027,-7.32405030695865
"mulher:factor(raca_grupo)indigena",0.128882644080617,0.03037367539328,3.85560805319786e-05,13.7556617329299
"mulher:factor(raca_grupo)pardo",0.0444372544543816,0.0200416644054686,0.0281207735513194,4.54393779882805
"mulher:factor(raca_grupo)preto",0.0638284009279209,0.0305503551788029,0.0383819454390209,6.59094739904365
